Compound ID,smiles,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,Calculated_LogP,Aromatic_Proportion,measured log solubility in mols per litre,ESOL_Predicted_LogS,Solubility_Status
Cycloheptane,C1CCCCCC1,2,98.189,0,1,0,0.0,2.730700000000001,0.0,-3.51,-2.1691128000000006,Acceptable👍
Propyl formate,CCCOC=O,1,88.106,0,0,3,26.3,0.5694,0.0,-0.49,-0.5469792,Acceptable👍
2-Isopropyltoluene,CC(C)c1ccccc1C,1,134.222,0,1,1,0.0,3.118420000000002,0.6,-3.76,-3.014781000000002,Acceptable👍
m-Chloroaniline,Nc1cccc(Cl)c1,1,127.574,1,1,0,26.02,1.9222,0.75,-1.37,-2.3969448,Acceptable👍
"2,4-Dimethylpentane",CC(C)CC(C)C,1,100.205,0,0,2,0.0,2.688500000000001,0.0,-4.26,-2.0230260000000007,Acceptable👍
Dibenzofurane,o1c2ccccc2c3ccccc13,2,168.195,0,3,0,13.14,3.586000000000002,1.0,-4.6,-3.8819890000000017,Acceptable👍
ethofumesate,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,1,286.349,0,2,4,61.83,2.0576,0.3157894736842105,-3.42,-2.881336010526315,Acceptable👍
Fluometuron,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,1,232.205,1,1,1,32.34,2.7989000000000006,0.375,-3.43,-3.2544780000000006,Acceptable👍
Acridine,c3ccc2nc1ccccc1cc2c3,2,179.222,0,3,0,12.89,3.3880000000000017,1.0,-3.67,-3.8256164000000012,Acceptable👍
Cortisone,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,1,360.45,2,4,2,91.67,1.9898,0.0,-3.11,-3.1963639999999995,Acceptable👍
glucose,OCC1OC(O)C(O)C(O)C1O,1,180.156,5,1,1,110.38,-3.2214000000000005,0.0,0.74,1.1385148000000005,Acceptable👍
3-Methylphenol,Cc1cccc(O)c1,1,108.14,1,1,0,20.23,1.7006199999999998,0.75,-0.68,-2.1368586,Acceptable👍
Indapamide,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O,1,365.842,2,3,3,92.5,2.0834,0.5,-3.586,-3.5927624000000002,Acceptable👍
Lovastatin,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,1,404.547,1,3,6,72.83,4.195500000000004,0.0,-6.005,-4.595356400000003,Poor👎
"1,4-Dinitrobenzene",O=N(=O)c1ccc(cc1)N(=O)=O,1,168.108,0,1,2,86.28,1.503,0.5,-3.39,-2.0671596,Acceptable👍
Reposal,CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,1,262.309,2,3,2,75.27,1.4952,0.0,-2.696,-2.2762918,Acceptable👍
Ethyl decanoate,CCCCCCCCCC(=O)OCC,1,200.322,0,0,9,26.3,3.6902000000000026,0.0,-4.1,-2.812822400000001,Acceptable👍
Fenuron,CN(C)C(=O)Nc1ccccc1,1,164.208,1,1,1,32.34,1.7801,0.5,-1.6,-2.2835525999999997,Acceptable👍
Ethyl propyl ether,CCCOCC,1,88.15,0,0,3,9.23,1.4329,0.0,-0.66,-1.0912570000000001,Acceptable👍
2-Propanol,CC(C)O,1,60.096,1,0,0,20.23,0.3871,0.0,0.43,-0.4564682,Acceptable👍
2-Methylnapthalene,Cc1ccc2ccccc2c1,1,142.201,0,2,0,0.0,3.148220000000001,0.9090909090909092,-3.77,-3.3777520727272736,Acceptable👍
Chlorodibromethane,ClC(Br)Br,1,208.28,0,0,0,0.0,2.2986000000000004,0.0,-1.9,-2.579454,Acceptable👍
Hexestrol,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,1,270.372,2,2,5,40.46,4.785200000000005,0.6,-4.43,-4.644982400000003,Poor👎
Malathion,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,1,330.364,0,0,9,71.06,2.1218000000000004,0.0,-3.37,-2.6309908,Acceptable👍
Benzylchloride,ClCc1ccccc1,1,126.586,0,1,1,0.0,2.4254000000000007,0.75,-2.39,-2.641835200000001,Acceptable👍
t-Crotonaldehyde,C/C=C/C=O,1,70.091,0,0,1,17.07,0.7614000000000001,0.0,0.32,-0.6882462,Acceptable👍
Chlorbromuron,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,1,293.548,1,1,2,41.57,3.127600000000002,0.4,-3.924,-3.794385600000001,Acceptable👍
"9,10-Dimethylanthracene",Cc1c2ccccc2c(C)c3ccccc13,1,206.288,0,3,0,0.0,4.609840000000004,0.875,-6.57,-4.670684800000003,Poor👎
Methyl hexanoate,CCCCCC(=O)OC,1,130.187,0,0,4,26.3,1.7397,0.0,-1.87,-1.4791704,Acceptable👍
Dimefuron,CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,1,338.795,1,2,2,80.37,2.869900000000001,0.4782608695652174,-4.328,-3.970479043478261,Acceptable👍
p-Fluoroacetanilide,CC(=O)Nc1ccc(F)cc1,1,153.156,1,1,1,29.1,1.7840999999999998,0.5454545454545454,-1.78,-2.2511865636363635,Acceptable👍
alachlor,CCc1cccc(CC)c1N(COC)C(=O)CCl,1,269.772,0,1,6,29.54,2.9871000000000016,0.3333333333333333,-3.26,-3.2451260666666677,Acceptable👍
Cyclohexene,C1CCC=CC1,2,82.146,0,1,0,0.0,2.1166,0.0,-2.59,-1.6827632000000001,Acceptable👍
Hydrocortisone,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,1,362.466,3,4,2,94.83,1.7815999999999996,0.0,-3.09,-3.0776972,Acceptable👍
Pyrimidine,c1cncnc1,2,80.09,0,1,0,25.78,0.4765999999999999,1.0,1.1,-1.3768159999999998,Acceptable👍
p-Chloronitrobenzene,Clc1ccc(cc1)N(=O)=O,1,157.556,0,1,1,43.14,2.2482000000000006,0.6,-2.92,-2.611213200000001,Acceptable👍
Methyl propionate,CCC(=O)OC,1,88.106,0,0,1,26.3,0.5694,0.0,-0.14,-0.6789792000000001,Acceptable👍
o-Chloronitrobenzene,Clc1ccccc1N(=O)=O,1,157.556,0,1,1,43.14,2.2482,0.6,-2.55,-2.6112132000000003,Acceptable👍
Neburon,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1,275.179,1,1,4,32.34,4.257200000000004,0.3529411764705882,-4.77,-4.2253222705882365,Poor👎
Buthidazole,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,1,256.331,1,2,1,69.56,1.0257999999999998,0.2941176470588235,-1.877,-2.2271532588235297,Acceptable👍
Nitrobenzene,O=N(=O)c1ccccc1,1,123.111,0,1,1,43.14,1.5948,0.6666666666666666,-1.8,-2.035345533333333,Acceptable👍
Iodobenzene,Ic1ccccc1,1,204.01,0,1,0,0.0,2.2912,0.8571428571428571,-3.01,-3.1826037142857144,Acceptable👍
Metolazone,CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O,1,365.842,2,3,2,92.5,2.7141199999999994,0.5,-3.78,-4.056115999999999,Poor👎
Methocarbamol,COc1ccccc1OCC(O)COC(N)=O,1,241.243,2,1,6,91.01,0.5302000000000002,0.3529411764705882,-0.985,-1.5349090705882356,Acceptable👍
butachlor,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,1,311.853,0,1,9,29.54,4.157400000000004,0.2857142857142857,-4.19,-4.010079171428575,Poor👎
"2,3-Dichlorophenol",Oc1cccc(Cl)c1Cl,1,163.003,1,1,0,20.23,2.699,0.6666666666666666,-1.3,-3.0443219333333333,Acceptable👍
Propyl butyrate,CCCC(=O)OC,1,102.133,0,0,2,26.3,0.9595,0.0,-1.92,-0.9457095999999999,Acceptable👍
Propanil,CCC(=O)Nc1ccc(Cl)c(Cl)c1,1,218.083,1,1,2,29.1,3.3419000000000016,0.4615384615384615,-3.0,-3.5070500615384623,Acceptable👍
Triamterene,Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,1,253.269,3,3,1,129.62,0.8334000000000001,0.8421052631578947,-2.404,-2.492467694736842,Acceptable👍
Ethyl hexanoate,CCCCCC(=O)OCC,1,144.214,0,0,5,26.3,2.1298000000000004,0.0,-2.35,-1.7459008000000003,Acceptable👍
chloralose,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl,1,309.529,3,2,2,88.38,-0.4628999999999993,0.0,-1.84,-1.3354528000000006,Acceptable👍
Amitraz,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,1,293.414,0,2,4,27.96,4.871880000000004,0.5454545454545454,-5.47,-4.868087563636366,Poor👎
Prometon,COc1nc(NC(C)C)nc(NC(C)C)n1,1,225.296,2,1,5,71.96,1.5208,0.375,-2.478,-2.1424391999999997,Acceptable👍
1-Octene,CCCCCCC=C,1,112.216,0,0,5,0.0,3.142800000000002,0.0,-4.44,-2.185703200000001,Acceptable👍
p-Methylaniline,Cc1ccc(N)cc1,1,107.156,1,1,0,26.02,1.5772199999999998,0.75,-1.21,-2.0530158,Acceptable👍
aminothiazole,Nc1nccs1,1,100.146,1,1,0,38.91,0.7253000000000001,0.8333333333333334,-0.36,-1.5345108666666667,Acceptable👍
Metolcarb,c1ccccc1(OC(=O)NC),1,151.165,1,1,1,38.33,1.4048,0.5454545454545454,-1.803,-1.9998833636363633,Acceptable👍
3-Hexanol,CCCC(O)CC,1,102.177,1,0,3,20.23,1.5574,0.0,-0.8,-1.2566594,Acceptable👍
9-anthrol,c3ccc2c(O)c1ccccc1cc2c3,1,194.233,1,3,0,20.23,3.6986000000000017,0.9333333333333332,-4.73,-4.065029266666667,Poor👎
2-Methylanthracene,Cc1ccc2cc3ccccc3cc2c1,1,192.261,0,3,0,0.0,4.301420000000002,0.9333333333333332,-6.96,-4.4325794666666685,Poor👎
"1,2,3-Trimethylbenzene ",Cc1cccc(C)c1C,1,120.195,0,1,0,0.0,2.611860000000001,0.6666666666666666,-3.2,-2.7240141333333336,Acceptable👍
Aminocarb,CNC(=O)Oc1ccc(N(C)C)c(C)c1,1,208.261,1,1,2,41.57,1.77922,0.4,-2.36,-2.4161267999999994,Acceptable👍
2-Nonanol,CCCCCCCC(C)O,1,144.258,1,0,6,20.23,2.727700000000002,0.0,-2.74,-2.0568506000000015,Acceptable👍
Methyldymron,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,1,268.36,1,2,3,32.34,3.767700000000003,0.6,-3.35,-4.123483000000002,Poor👎
3-Hexanone,CCCC(=O)CC,1,100.161,0,0,3,17.07,1.7656,0.0,-0.83,-1.3753262,Acceptable👍
bromoxynil,Oc1c(Br)cc(C#N)cc1Br,1,276.915,1,1,0,44.02,2.78888,0.5454545454545454,-3.33,-3.717503763636364,Acceptable👍
"3,4-PCB",Clc1ccc(cc1Cl)c2ccccc2,1,223.102,0,2,1,0.0,4.660400000000002,0.8571428571428571,-6.39,-4.727570114285715,Poor👎
Mefenacet,CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,1,298.367,0,3,4,42.43,3.3381000000000016,0.7142857142857143,-4.873,-4.057449828571429,Poor👎
5-hydroxyquinoline,Oc1cccc2ncccc12,1,145.161,1,2,0,33.12,1.9404,0.9090909090909092,-2.54,-2.6351774727272725,Acceptable👍
Carboxin,CC1=C(SCCO1)C(=O)Nc2ccccc2,1,235.308,1,2,2,38.33,2.620000000000001,0.375,-3.14,-3.0950096000000005,Acceptable👍
Ethoxyzolamide,CCOc2ccc1nc(sc1c2)S(N)(=O)=O,1,258.324,1,2,3,82.28,1.3424,0.5625,-3.81,-2.5055708,Acceptable👍
Pentachlorophenol,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,266.338,1,1,0,20.23,4.6592,0.5,-4.28,-4.7965916,Poor👎
Bromochloromethane,ClCBr,1,129.384,0,0,0,0.0,1.5776,0.0,-0.89,-1.6360687999999999,Acceptable👍
metharbital,CCC1(CC)C(=O)NC(=O)N(C)C1=O,1,198.222,1,1,2,66.48,0.5009999999999999,0.0,-2.23,-1.2526064,Acceptable👍
deoxycorticosterone acetate,CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,1,372.505,0,4,3,60.44,4.266700000000004,0.0,-4.63,-4.639552000000002,Poor👎
benzylurea,NC(=O)NCc1ccccc1,1,150.181,2,1,2,55.12,0.8548999999999998,0.5454545454545454,-0.95,-1.5813455636363634,Acceptable👍
Chlortoluron,CN(C)C(=O)Nc1ccc(C)c(Cl)c1,1,212.68,1,1,1,32.34,2.741920000000001,0.4285714285714285,-3.483,-3.137168457142858,Acceptable👍
Linuron,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1,249.097,1,1,2,41.57,3.0185000000000013,0.4,-3.592,-3.4500564000000002,Acceptable👍
Cycloheptanol,OC1CCCCCC1,1,114.188,1,1,0,20.23,1.7015,0.0,-0.88,-1.6199105999999999,Acceptable👍
Thiamphenicol,CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl,1,356.227,3,1,6,103.7,0.4043000000000002,0.2857142857142857,-2.154,-2.118744971428571,Acceptable👍
thiopental,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,1,242.344,2,1,4,58.2,1.3499,0.0,-3.36,-1.9289698000000002,Acceptable👍
acetazolamide,CC(=O)Nc1nnc(s1)S(N)(=O)=O,1,222.251,2,1,2,115.04,-0.8561000000000003,0.3846153846153846,-2.36,-0.8312285846153844,Acceptable👍
p-Nitrophenol,Oc1ccc(cc1)N(=O)=O,1,139.11,1,1,1,63.37,1.3003999999999998,0.6,-0.74,-1.8997339999999998,Acceptable👍
Aldrin,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,1,364.914,0,4,0,0.0,5.270200000000002,0.0,-6.307,-5.422692800000001,Poor👎
Tetrahydrofurane,C1CCOC1,2,72.107,0,1,0,9.23,0.7968,0.0,0.49,-0.7890474,Acceptable👍
o-Nitroaniline,Nc1ccccc1N(=O)=O,1,138.126,1,1,1,69.16,1.177,0.6,-1.96,-1.8158911999999998,Acceptable👍
"2,2',3,3'-PCB",Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,1,291.992,0,2,1,0.0,5.967200000000002,0.75,-7.28,-5.898686400000001,Poor👎
phenylbutazone,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,1,308.381,0,3,5,40.62,3.7878000000000025,0.5217391304347826,-3.81,-4.19436315652174,Poor👎
"2,6-Dinitrotoluene",Cc1c(cccc1N(=O)=O)N(=O)=O,1,182.135,0,1,2,86.28,1.8114200000000005,0.4615384615384615,-3.0,-2.3199700615384615,Acceptable👍
Progesterone,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,1,314.469,0,4,1,34.14,4.723500000000005,0.0,-4.42,-4.699512800000003,Poor👎
Chlorazine,CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,1,257.769,0,1,6,45.15,2.2174,0.3529411764705882,-4.411,-2.7003062705882352,Acceptable👍
captafol,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O,1,349.066,0,2,3,37.38,3.520900000000001,0.0,-5.4,-4.0243762,Poor👎
"1,2,4-tribromobenzene",c1(Br)c(Br)cc(Br)cc1,1,314.802,0,1,0,0.0,3.974100000000001,0.6666666666666666,-4.5,-4.788788733333334,Poor👎
Oxazepam,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O,1,286.718,2,3,1,61.69,2.4479,0.6,-3.952,-3.5378286,Acceptable👍
Secobarbital,O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,1,238.287,2,1,5,75.27,1.3510999999999993,0.0,-2.356,-1.8385723999999994,Acceptable👍
Carvacrol,c1(O)c(C)ccc(C(C)C)c1,1,150.221,1,1,1,20.23,2.824020000000001,0.5454545454545454,-2.08,-2.8881391636363647,Acceptable👍
rhodanine,C1SC(=S)NC1(=O),1,133.197,1,1,0,29.1,0.1342999999999999,0.0,-1.77,-0.7504303999999999,Acceptable👍
Morin,Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O,1,302.238,5,3,1,131.36,1.9879999999999995,0.7272727272727273,-3.083,-3.438497418181818,Acceptable👍
Kepone,ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,1,490.639,0,6,0,17.07,4.6182,0.0,-5.259,-5.7914278,Poor👎
Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,1,296.552,0,0,4,6.48,3.621200000000002,0.0,-4.86,-3.6959784000000013,Acceptable👍
Cyclohexane,C1CCCCC1,2,84.162,0,1,0,0.0,2.3406,0.0,-3.1,-1.8363824000000002,Acceptable👍
Dienochlor,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,1,474.64,0,2,1,0.0,7.725599999999999,0.0,-7.278,-7.583895999999998,Poor👎
chlordimeform,CN(C)C=Nc1ccc(Cl)cc1C,1,196.681,0,1,2,15.6,2.8698200000000007,0.4615384615384615,-2.86,-3.076947261538462,Acceptable👍
Equilenin,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,1,266.34,1,4,0,37.3,3.9444000000000026,0.5,-5.24,-4.346280000000001,Poor👎
1-Octanol,CCCCCCCCO,1,130.231,1,0,6,20.23,2.3392000000000013,0.0,-2.39,-1.7251282000000008,Acceptable👍
Diethyl sulfide,CCSCC,1,90.191,0,0,2,0.0,1.7594,0.0,-1.34,-1.3756062,Acceptable👍
"1,2-Dichloroethane",ClCCCl,1,98.96,0,0,1,0.0,1.464,0.0,-1.06,-1.309872,Acceptable👍
2-Chloro-2-methylbutane,CCC(C)(C)Cl,1,106.596,0,0,1,0.0,2.4138,0.0,-2.51,-1.9555892000000001,Acceptable👍
1-Chloro-2-bromoethane,ClCCBr,1,143.411,0,0,1,0.0,1.6201,0.0,-1.32,-1.6838111999999998,Acceptable👍
p-Nitroaniline,Nc1ccc(cc1)N(=O)=O,1,138.126,1,1,1,69.16,1.177,0.6,-2.37,-1.8158911999999998,Acceptable👍
Lactose,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,1,342.297,8,2,4,189.53,-5.397199999999993,0.0,-0.244,1.7019945999999957,Acceptable👍
RTI 2,CCN2c1ncccc1N(CC)C(=O)c3cccnc23,1,268.32,0,3,2,49.33,2.614700000000001,0.6,-2.86,-3.462845,Acceptable👍
Chlorobenzene,Clc1ccccc1,1,112.559,0,1,0,0.0,2.34,0.8571428571428571,-2.38,-2.6463515142857146,Acceptable👍
1-Nonene,CCCCCCCC=C,1,126.243,0,0,6,0.0,3.5329000000000024,0.0,-5.05,-2.4524336000000013,Acceptable👍
p-Bromoiodobenzene,Brc1ccc(I)cc1,1,282.906,0,1,0,0.0,3.053700000000001,0.75,-4.56,-4.072848200000001,Poor👎
3-Methyl-3-pentanol,CCC(C)(O)CC,1,102.177,1,0,2,20.23,1.5574,0.0,-0.36,-1.3226594,Acceptable👍
Pentylbenzene,CCCCCc1ccccc1,1,148.249,0,1,4,0.0,3.4193000000000024,0.5454545454545454,-4.64,-3.0529391636363656,Acceptable👍
allantoin,NC(=O)NC1NC(=O)NC1=O,1,158.117,4,1,1,113.32,-2.1798,0.0,-1.6,0.6189486000000002,Acceptable👍
Glafenine,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,1,372.808,3,3,6,91.68,3.141800000000001,0.6153846153846154,-4.571,-4.190128215384616,Poor👎
DDD,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,1,320.046,0,2,3,0.0,5.929000000000003,0.6666666666666666,-7.2,-5.854888533333335,Poor👎
testosterone acetate,CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,1,330.468,0,4,1,43.37,4.450000000000004,0.0,-5.184,-4.626401600000002,Poor👎
1-Chloronapthalene,Clc1cccc2ccccc12,1,162.619,0,2,0,0.0,3.4932000000000016,0.9090909090909092,-3.93,-3.721681072727274,Acceptable👍
RTI 19,CCN2c1ccccc1N(C)C(=O)c3ccccc23,1,252.317,0,3,1,23.55,3.4346000000000023,0.631578947368421,-4.749,-3.969531821052633,Acceptable👍
2-Hexanol,CCCCC(C)O,1,102.177,1,0,3,20.23,1.5574,0.0,-0.89,-1.2566594,Acceptable👍
Propylcyclopentane,CCCC1CCCC1,1,112.216,0,1,2,0.0,2.976700000000002,0.0,-4.74,-2.279060200000001,Acceptable👍
Etomidate,CCOC(=O)c1cncn1C(C)c2ccccc2,1,244.294,0,2,4,44.12,2.669100000000001,0.6111111111111112,-4.735,-3.2243780222222234,Acceptable👍
"3,4-Dichlorophenol",Oc1ccc(Cl)c(Cl)c1,1,163.003,1,1,0,20.23,2.6990000000000007,0.6666666666666666,-1.25,-3.0443219333333333,Acceptable👍
Cypermethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,1,416.304,0,3,6,59.32,6.177980000000004,0.4285714285714285,-8.017,-6.234355057142859,Poor👎
Benzoxazole,c2ccc1ocnc1c2,2,119.123,0,2,0,26.03,1.8278,1.0,-1.16,-2.4700766,Acceptable👍
1-Pentanol,CCCCCO,1,88.15,1,0,3,20.23,1.1689,0.0,-0.6,-0.9249370000000001,Acceptable👍
"N,N-Diethylaniline",CCN(CC)c1ccccc1,1,149.237,0,1,3,3.24,2.532800000000001,0.5454545454545454,-3.03,-2.5665697636363642,Acceptable👍
"1,3-Difluorobenzene",Fc1cccc(F)c1,1,114.094,0,1,0,0.0,1.9648,0.75,-2.0,-2.3402068,Acceptable👍
3-chloropropionitrile,ClCCC#N,1,89.525,0,0,1,23.79,1.13888,0.0,-0.29,-1.0465493999999997,Acceptable👍
t-Pentylbenzene,CC(C)(C)Cc1ccccc1,1,148.249,0,1,1,0.0,3.2752000000000017,0.5454545454545454,-4.15,-3.160156163636365,Acceptable👍
5-Ethyl-5-phenylbarbital,O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,1,232.239,2,2,2,75.27,0.7003999999999997,0.3529411764705882,-2.322,-1.8503102705882353,Acceptable👍
o-Chloroiodobenzene,Clc1ccccc1I,1,238.455,0,1,0,0.0,2.9446000000000003,0.75,-3.54,-3.7285190000000004,Acceptable👍
Benzotriazole,c2ccc1[nH]nnc1c2,2,119.127,1,2,0,41.57,0.9578999999999998,1.0,-0.78,-1.9220643999999998,Acceptable👍
Carbofuran,CNC(=O)Oc1cccc2CC(C)(C)Oc12,1,221.256,1,2,1,47.56,2.1183,0.375,-2.8,-2.7578162,Acceptable👍
"2,6-Dimethylphenol",Cc1cccc(C)c1O,1,122.167,1,1,0,20.23,2.00904,0.6666666666666666,-1.29,-2.3564639333333335,Acceptable👍
3-Methyl-2-butanol,CC(C)C(C)O,1,88.15,1,0,1,20.23,1.0232,0.0,-0.18,-0.9651460000000001,Acceptable👍
benzhydrol,c1ccccc1C(O)c2ccccc2,1,184.238,1,2,2,20.23,2.768300000000001,0.8571428571428571,-2.55,-3.228590314285715,Acceptable👍
Methyl decanoate,CCCCCCCCCC(=O)OC,1,186.295,0,0,8,26.3,3.3001000000000023,0.0,-4.69,-2.546092000000001,Acceptable👍
Dicapthon,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,1,297.656,0,1,5,70.83,3.144300000000002,0.3529411764705882,-4.31,-3.5975526705882364,Acceptable👍
1-Bromo-2-methylpropane,CC(C)CBr,1,137.02,0,0,1,0.0,2.0373,0.0,-2.43,-1.9070230000000004,Acceptable👍
Iodoethane,CCI,1,155.966,0,0,0,0.0,1.4413,0.0,-1.6,-1.7150082,Acceptable👍
Pirimicarb,CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C,1,238.291,0,1,2,58.56,1.2198399999999998,0.3529411764705882,-1.95,-2.215079870588235,Acceptable👍
1-Bromohexane,CCCCCCBr,1,165.074,0,0,4,0.0,2.9616000000000016,0.0,-3.81,-2.465266800000001,Acceptable👍
2-Methylpentane,CCCC(C)C,1,86.178,0,0,2,0.0,2.442500000000001,0.0,-3.74,-1.7810786000000003,Acceptable👍
Tetrafluthrin,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,1,418.736,0,2,4,26.3,5.551820000000002,0.2222222222222222,-7.321,-5.834254244444445,Poor👎
Metolachlor,CCc1cccc(C)c1N(C(C)COC)C(=O)CCl,1,283.799,0,1,6,29.54,3.1641200000000014,0.3157894736842105,-2.73,-3.4306336105263164,Acceptable👍
nifuroxime,ON=Cc1ccc(o1)N(=O)=O,1,156.097,1,1,2,88.87,0.9959,0.4545454545454545,-2.19,-1.6395820363636364,Acceptable👍
Fluvalinate,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,1,502.92,1,3,8,71.35,7.395680000000005,0.5142857142857142,-8.003,-7.469953828571432,Poor👎
Amitrole,Nc1nc[nH]n1,1,84.082,2,1,0,67.59,-0.6131000000000002,0.8333333333333334,0.522,-0.5917220666666665,Acceptable👍
Tribromomethane,BrC(Br)Br,1,252.731,0,0,0,0.0,2.4547,0.0,-1.91,-2.9533932,Acceptable👍
Trichlorfon,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,1,257.437,1,0,3,55.76,2.1609000000000003,0.0,-0.22,-2.5994764000000004,Acceptable👍
Phosalone,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12,1,367.816,0,2,7,53.6,4.236100000000003,0.4285714285714285,-5.233,-4.644345057142859,Poor👎
Phenylmethanol,OCc1ccccc1,1,108.14,1,1,1,20.23,1.1789,0.75,-0.4,-1.7421749999999998,Acceptable👍
Coumatetralyl,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2,1,292.334,1,4,1,50.44,3.9668000000000023,0.7272727272727273,-2.84,-4.62373661818182,Poor👎
4-Bromophenol,Oc1ccc(Br)cc1,1,173.009,1,1,0,20.23,2.1547,0.75,-1.09,-2.8251168,Acceptable👍
2-Bromopropane,CC(C)Br,1,122.993,0,0,0,0.0,1.7897,0.0,-1.59,-1.7300676,Acceptable👍
"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,1,114.232,0,0,1,0.0,3.0786000000000016,0.0,-4.74,-2.4217564000000014,Acceptable👍
"1,3,5-Trinitrobenzene",O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1,213.105,0,1,3,129.42,1.4112,0.4,-2.89,-2.148307,Acceptable👍
Nimetazepam,CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O,1,295.298,0,3,2,75.81,2.4086000000000007,0.5454545454545454,-3.796,-3.459901963636364,Acceptable👍
Propane,CCC,1,44.097,0,0,0,0.0,1.4163,0.0,-1.94,-1.0056704,Acceptable👍
Minoxidil,Nc1cc(nc(N)n1=O)N2CCCCC2,1,209.253,2,2,1,95.11,-0.1303000000000003,0.4,-1.989,-1.2852795999999995,Acceptable👍
1-aminoacridine,Nc2cccc3nc1ccccc1cc23,1,194.237,1,3,0,38.91,2.970200000000001,0.9333333333333332,-4.22,-3.606162066666667,Acceptable👍
Benzo(k)fluoranthene,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,2,252.316,0,5,0,0.0,5.640400000000003,1.0,-8.49,-5.697811200000002,Poor👎
